well,fov,resolution_x,resolution_y,center_x,center_y
B10,1,0.14949402023919042,0.14949402023919042,27943.57069181233,2934.4178546458143
B10,2,0.14949402023919042,0.14949402023919042,26716.523691812326,2014.1328546458142
B10,3,0.14949402023919042,0.14949402023919042,27023.28569181233,2014.1328546458142
B10,4,0.14949402023919042,0.14949402023919042,27330.046691812327,2014.1328546458142
B10,5,0.14949402023919042,0.14949402023919042,27636.808691812326,2014.1328546458142
B10,6,0.14949402023919042,0.14949402023919042,27943.57069181233,2014.1328546458142
B10,7,0.14949402023919042,0.14949402023919042,28250.332691812328,2014.1328546458142
B10,8,0.14949402023919042,0.14949402023919042,28557.093691812326,2014.1328546458142
B10,9,0.14949402023919042,0.14949402023919042,28863.85569181233,2014.1328546458142
B10,10,0.14949402023919042,0.14949402023919042,28863.85569181233,2320.894854645814
B10,11,0.14949402023919042,0.14949402023919042,28557.093691812326,2320.894854645814
B10,12,0.14949402023919042,0.14949402023919042,28250.332691812328,2320.894854645814
B10,13,0.14949402023919042,0.14949402023919042,27943.57069181233,2320.894854645814
B10,14,0.14949402023919042,0.14949402023919042,27636.808691812326,2320.894854645814
B10,15,0.14949402023919042,0.14949402023919042,27330.046691812327,2320.894854645814
B10,16,0.14949402023919042,0.14949402023919042,27023.28569181233,2320.894854645814
B10,17,0.14949402023919042,0.14949402023919042,26716.523691812326,2320.894854645814
B10,18,0.14949402023919042,0.14949402023919042,26716.523691812326,2627.655854645814
B10,19,0.14949402023919042,0.14949402023919042,27023.28569181233,2627.655854645814
B10,20,0.14949402023919042,0.14949402023919042,27330.046691812327,2627.655854645814
B10,21,0.14949402023919042,0.14949402023919042,27636.808691812326,2627.655854645814
B10,22,0.14949402023919042,0.14949402023919042,27943.57069181233,2627.655854645814
B10,23,0.14949402023919042,0.14949402023919042,28250.332691812328,2627.655854645814
B10,24,0.14949402023919042,0.14949402023919042,28557.093691812326,2627.655854645814
B10,25,0.14949402023919042,0.14949402023919042,28863.85569181233,2627.655854645814
B10,26,0.14949402023919042,0.14949402023919042,28863.85569181233,2934.4178546458143
B10,27,0.14949402023919042,0.14949402023919042,28557.093691812326,2934.4178546458143
B10,28,0.14949402023919042,0.14949402023919042,28250.332691812328,2934.4178546458143
B10,29,0.14949402023919042,0.14949402023919042,27636.808691812326,2934.4178546458143
B10,30,0.14949402023919042,0.14949402023919042,27330.046691812327,2934.4178546458143
B10,31,0.14949402023919042,0.14949402023919042,27023.28569181233,2934.4178546458143
B10,32,0.14949402023919042,0.14949402023919042,26716.523691812326,2934.4178546458143
B10,33,0.14949402023919042,0.14949402023919042,26716.523691812326,3241.179854645814
B10,34,0.14949402023919042,0.14949402023919042,27023.28569181233,3241.179854645814
B10,35,0.14949402023919042,0.14949402023919042,27330.046691812327,3241.179854645814
B10,36,0.14949402023919042,0.14949402023919042,27636.808691812326,3241.179854645814
B10,37,0.14949402023919042,0.14949402023919042,27943.57069181233,3241.179854645814
B10,38,0.14949402023919042,0.14949402023919042,28250.332691812328,3241.179854645814
B10,39,0.14949402023919042,0.14949402023919042,28557.093691812326,3241.179854645814
B10,40,0.14949402023919042,0.14949402023919042,28863.85569181233,3241.179854645814
B10,41,0.14949402023919042,0.14949402023919042,28863.85569181233,3547.941854645814
B10,42,0.14949402023919042,0.14949402023919042,28557.093691812326,3547.941854645814
B10,43,0.14949402023919042,0.14949402023919042,28250.332691812328,3547.941854645814
B10,44,0.14949402023919042,0.14949402023919042,27943.57069181233,3547.941854645814
B10,45,0.14949402023919042,0.14949402023919042,27636.808691812326,3547.941854645814
B10,46,0.14949402023919042,0.14949402023919042,27330.046691812327,3547.941854645814
B10,47,0.14949402023919042,0.14949402023919042,27023.28569181233,3547.941854645814
B10,48,0.14949402023919042,0.14949402023919042,26716.523691812326,3547.941854645814
B10,49,0.14949402023919042,0.14949402023919042,26716.523691812326,3854.702854645814
B10,50,0.14949402023919042,0.14949402023919042,27023.28569181233,3854.702854645814
B10,51,0.14949402023919042,0.14949402023919042,27330.046691812327,3854.702854645814
B10,52,0.14949402023919042,0.14949402023919042,27636.808691812326,3854.702854645814
B10,53,0.14949402023919042,0.14949402023919042,27943.57069181233,3854.702854645814
B10,54,0.14949402023919042,0.14949402023919042,28250.332691812328,3854.702854645814
B10,55,0.14949402023919042,0.14949402023919042,28557.093691812326,3854.702854645814
B10,56,0.14949402023919042,0.14949402023919042,28863.85569181233,3854.702854645814
B10,57,0.14949402023919042,0.14949402023919042,28863.85569181233,4161.464854645814
B10,58,0.14949402023919042,0.14949402023919042,28557.093691812326,4161.464854645814
B10,59,0.14949402023919042,0.14949402023919042,28250.332691812328,4161.464854645814
B10,60,0.14949402023919042,0.14949402023919042,27943.57069181233,4161.464854645814
B10,61,0.14949402023919042,0.14949402023919042,27636.808691812326,4161.464854645814
B10,62,0.14949402023919042,0.14949402023919042,27330.046691812327,4161.464854645814
B10,63,0.14949402023919042,0.14949402023919042,27023.28569181233,4161.464854645814
B10,64,0.14949402023919042,0.14949402023919042,26716.523691812326,4161.464854645814
B12,1,0.14949402023919042,0.14949402023919042,34119.168401103954,2934.4178546458143
B12,2,0.14949402023919042,0.14949402023919042,32892.121401103956,2014.1328546458142
B12,3,0.14949402023919042,0.14949402023919042,33198.88340110395,2014.1328546458142
B12,4,0.14949402023919042,0.14949402023919042,33505.64440110396,2014.1328546458142
B12,5,0.14949402023919042,0.14949402023919042,33812.40640110395,2014.1328546458142
B12,6,0.14949402023919042,0.14949402023919042,34119.168401103954,2014.1328546458142
