image_name,channel,plate,row,column,time,plane,resolution_x,resolution_y,resolution_z,center_x,center_y,center_z,fov
p1_wB2_t1_m3_c3_z0_l1_o0,3,1,2,2,1,0,0.14949402023919042,0.14949402023919042,1.0,2320.894854645814,2014.1328546458142,0.0,p1_wB2_t1_m3
p1_wB2_t1_m3_c4_z0_l1_o0,4,1,2,2,1,0,0.14949402023919042,0.14949402023919042,1.0,2320.894854645814,2014.1328546458142,0.0,p1_wB2_t1_m3
p1_wB2_t1_m3_c5_z0_l1_o0,5,1,2,2,1,0,0.14949402023919042,0.14949402023919042,1.0,2320.894854645814,2014.1328546458142,0.0,p1_wB2_t1_m3
p1_wB2_t1_m4_c1_z0_l1_o0,1,1,2,2,1,0,0.14949402023919042,0.14949402023919042,1.0,2627.655854645814,2014.1328546458142,0.0,p1_wB2_t1_m4
p1_wB2_t1_m4_c2_z0_l1_o0,2,1,2,2,1,0,0.14949402023919042,0.14949402023919042,1.0,2627.655854645814,2014.1328546458142,0.0,p1_wB2_t1_m4
p1_wB2_t1_m4_c3_z0_l1_o0,3,1,2,2,1,0,0.14949402023919042,0.14949402023919042,1.0,2627.655854645814,2014.1328546458142,0.0,p1_wB2_t1_m4
p1_wB2_t1_m4_c4_z0_l1_o0,4,1,2,2,1,0,0.14949402023919042,0.14949402023919042,1.0,2627.655854645814,2014.1328546458142,0.0,p1_wB2_t1_m4
p1_wB2_t1_m4_c5_z0_l1_o0,5,1,2,2,1,0,0.14949402023919042,0.14949402023919042,1.0,2627.655854645814,2014.1328546458142,0.0,p1_wB2_t1_m4
p1_wB2_t1_m5_c1_z0_l1_o0,1,1,2,2,1,0,0.14949402023919042,0.14949402023919042,1.0,2934.4178546458143,2014.1328546458142,0.0,p1_wB2_t1_m5
p1_wB2_t1_m5_c2_z0_l1_o0,2,1,2,2,1,0,0.14949402023919042,0.14949402023919042,1.0,2934.4178546458143,2014.1328546458142,0.0,p1_wB2_t1_m5
p1_wB2_t1_m5_c3_z0_l1_o0,3,1,2,2,1,0,0.14949402023919042,0.14949402023919042,1.0,2934.4178546458143,2014.1328546458142,0.0,p1_wB2_t1_m5
p1_wB2_t1_m5_c4_z0_l1_o0,4,1,2,2,1,0,0.14949402023919042,0.14949402023919042,1.0,2934.4178546458143,2014.1328546458142,0.0,p1_wB2_t1_m5
p1_wB2_t1_m5_c5_z0_l1_o0,5,1,2,2,1,0,0.14949402023919042,0.14949402023919042,1.0,2934.4178546458143,2014.1328546458142,0.0,p1_wB2_t1_m5
p1_wB2_t1_m6_c1_z0_l1_o0,1,1,2,2,1,0,0.14949402023919042,0.14949402023919042,1.0,3241.179854645814,2014.1328546458142,0.0,p1_wB2_t1_m6
p1_wB2_t1_m6_c2_z0_l1_o0,2,1,2,2,1,0,0.14949402023919042,0.14949402023919042,1.0,3241.179854645814,2014.1328546458142,0.0,p1_wB2_t1_m6
p1_wB2_t1_m6_c3_z0_l1_o0,3,1,2,2,1,0,0.14949402023919042,0.14949402023919042,1.0,3241.179854645814,2014.1328546458142,0.0,p1_wB2_t1_m6
p1_wB2_t1_m6_c4_z0_l1_o0,4,1,2,2,1,0,0.14949402023919042,0.14949402023919042,1.0,3241.179854645814,2014.1328546458142,0.0,p1_wB2_t1_m6
p1_wB2_t1_m6_c5_z0_l1_o0,5,1,2,2,1,0,0.14949402023919042,0.14949402023919042,1.0,3241.179854645814,2014.1328546458142,0.0,p1_wB2_t1_m6
p1_wB2_t1_m7_c1_z0_l1_o0,1,1,2,2,1,0,0.14949402023919042,0.14949402023919042,1.0,3547.941854645814,2014.1328546458142,0.0,p1_wB2_t1_m7
p1_wB2_t1_m7_c2_z0_l1_o0,2,1,2,2,1,0,0.14949402023919042,0.14949402023919042,1.0,3547.941854645814,2014.1328546458142,0.0,p1_wB2_t1_m7
p1_wB2_t1_m7_c3_z0_l1_o0,3,1,2,2,1,0,0.14949402023919042,0.14949402023919042,1.0,3547.941854645814,2014.1328546458142,0.0,p1_wB2_t1_m7
p1_wB2_t1_m7_c4_z0_l1_o0,4,1,2,2,1,0,0.14949402023919042,0.14949402023919042,1.0,3547.941854645814,2014.1328546458142,0.0,p1_wB2_t1_m7
p1_wB2_t1_m7_c5_z0_l1_o0,5,1,2,2,1,0,0.14949402023919042,0.14949402023919042,1.0,3547.941854645814,2014.1328546458142,0.0,p1_wB2_t1_m7
p1_wB2_t1_m8_c1_z0_l1_o0,1,1,2,2,1,0,0.14949402023919042,0.14949402023919042,1.0,3854.702854645814,2014.1328546458142,0.0,p1_wB2_t1_m8
p1_wB2_t1_m8_c2_z0_l1_o0,2,1,2,2,1,0,0.14949402023919042,0.14949402023919042,1.0,3854.702854645814,2014.1328546458142,0.0,p1_wB2_t1_m8
p1_wB2_t1_m8_c3_z0_l1_o0,3,1,2,2,1,0,0.14949402023919042,0.14949402023919042,1.0,3854.702854645814,2014.1328546458142,0.0,p1_wB2_t1_m8
p1_wB2_t1_m8_c4_z0_l1_o0,4,1,2,2,1,0,0.14949402023919042,0.14949402023919042,1.0,3854.702854645814,2014.1328546458142,0.0,p1_wB2_t1_m8
p1_wB2_t1_m8_c5_z0_l1_o0,5,1,2,2,1,0,0.14949402023919042,0.14949402023919042,1.0,3854.702854645814,2014.1328546458142,0.0,p1_wB2_t1_m8
p1_wB2_t1_m9_c1_z0_l1_o0,1,1,2,2,1,0,0.14949402023919042,0.14949402023919042,1.0,4161.464854645814,2014.1328546458142,0.0,p1_wB2_t1_m9
p1_wB2_t1_m9_c2_z0_l1_o0,2,1,2,2,1,0,0.14949402023919042,0.14949402023919042,1.0,4161.464854645814,2014.1328546458142,0.0,p1_wB2_t1_m9
p1_wB2_t1_m9_c3_z0_l1_o0,3,1,2,2,1,0,0.14949402023919042,0.14949402023919042,1.0,4161.464854645814,2014.1328546458142,0.0,p1_wB2_t1_m9
p1_wB2_t1_m9_c4_z0_l1_o0,4,1,2,2,1,0,0.14949402023919042,0.14949402023919042,1.0,4161.464854645814,2014.1328546458142,0.0,p1_wB2_t1_m9
p1_wB2_t1_m9_c5_z0_l1_o0,5,1,2,2,1,0,0.14949402023919042,0.14949402023919042,1.0,4161.464854645814,2014.1328546458142,0.0,p1_wB2_t1_m9
p1_wB2_t1_m10_c1_z0_l1_o0,1,1,2,2,1,0,0.14949402023919042,0.14949402023919042,1.0,4161.464854645814,2320.894854645814,0.0,p1_wB2_t1_m10
p1_wB2_t1_m10_c2_z0_l1_o0,2,1,2,2,1,0,0.14949402023919042,0.14949402023919042,1.0,4161.464854645814,2320.894854645814,0.0,p1_wB2_t1_m10
p1_wB2_t1_m10_c3_z0_l1_o0,3,1,2,2,1,0,0.14949402023919042,0.14949402023919042,1.0,4161.464854645814,2320.894854645814,0.0,p1_wB2_t1_m10
p1_wB2_t1_m10_c4_z0_l1_o0,4,1,2,2,1,0,0.14949402023919042,0.14949402023919042,1.0,4161.464854645814,2320.894854645814,0.0,p1_wB2_t1_m10
p1_wB2_t1_m10_c5_z0_l1_o0,5,1,2,2,1,0,0.14949402023919042,0.14949402023919042,1.0,4161.464854645814,2320.894854645814,0.0,p1_wB2_t1_m10
p1_wB2_t1_m11_c1_z0_l1_o0,1,1,2,2,1,0,0.14949402023919042,0.14949402023919042,1.0,3854.702854645814,2320.894854645814,0.0,p1_wB2_t1_m11
p1_wB2_t1_m11_c2_z0_l1_o0,2,1,2,2,1,0,0.14949402023919042,0.14949402023919042,1.0,3854.702854645814,2320.894854645814,0.0,p1_wB2_t1_m11
p1_wB2_t1_m11_c3_z0_l1_o0,3,1,2,2,1,0,0.14949402023919042,0.14949402023919042,1.0,3854.702854645814,2320.894854645814,0.0,p1_wB2_t1_m11
p1_wB2_t1_m11_c4_z0_l1_o0,4,1,2,2,1,0,0.14949402023919042,0.14949402023919042,1.0,3854.702854645814,2320.894854645814,0.0,p1_wB2_t1_m11
p1_wB2_t1_m11_c5_z0_l1_o0,5,1,2,2,1,0,0.14949402023919042,0.14949402023919042,1.0,3854.702854645814,2320.894854645814,0.0,p1_wB2_t1_m11
p1_wB2_t1_m12_c1_z0_l1_o0,1,1,2,2,1,0,0.14949402023919042,0.14949402023919042,1.0,3547.941854645814,2320.894854645814,0.0,p1_wB2_t1_m12
p1_wB2_t1_m12_c2_z0_l1_o0,2,1,2,2,1,0,0.14949402023919042,0.14949402023919042,1.0,3547.941854645814,2320.894854645814,0.0,p1_wB2_t1_m12
p1_wB2_t1_m12_c3_z0_l1_o0,3,1,2,2,1,0,0.14949402023919042,0.14949402023919042,1.0,3547.941854645814,2320.894854645814,0.0,p1_wB2_t1_m12
p1_wB2_t1_m12_c4_z0_l1_o0,4,1,2,2,1,0,0.14949402023919042,0.14949402023919042,1.0,3547.941854645814,2320.894854645814,0.0,p1_wB2_t1_m12
p1_wB2_t1_m12_c5_z0_l1_o0,5,1,2,2,1,0,0.14949402023919042,0.14949402023919042,1.0,3547.941854645814,2320.894854645814,0.0,p1_wB2_t1_m12
p1_wB2_t1_m13_c1_z0_l1_o0,1,1,2,2,1,0,0.14949402023919042,0.14949402023919042,1.0,3241.179854645814,2320.894854645814,0.0,p1_wB2_t1_m13
p1_wB2_t1_m13_c2_z0_l1_o0,2,1,2,2,1,0,0.14949402023919042,0.14949402023919042,1.0,3241.179854645814,2320.894854645814,0.0,p1_wB2_t1_m13
p1_wB2_t1_m13_c3_z0_l1_o0,3,1,2,2,1,0,0.14949402023919042,0.14949402023919042,1.0,3241.179854645814,2320.894854645814,0.0,p1_wB2_t1_m13
p1_wB2_t1_m13_c4_z0_l1_o0,4,1,2,2,1,0,0.14949402023919042,0.14949402023919042,1.0,3241.179854645814,2320.894854645814,0.0,p1_wB2_t1_m13
p1_wB2_t1_m13_c5_z0_l1_o0,5,1,2,2,1,0,0.14949402023919042,0.14949402023919042,1.0,3241.179854645814,2320.894854645814,0.0,p1_wB2_t1_m13
p1_wB2_t1_m14_c1_z0_l1_o0,1,1,2,2,1,0,0.14949402023919042,0.14949402023919042,1.0,2934.4178546458143,2320.894854645814,0.0,p1_wB2_t1_m14
p1_wB2_t1_m14_c2_z0_l1_o0,2,1,2,2,1,0,0.14949402023919042,0.14949402023919042,1.0,2934.4178546458143,2320.894854645814,0.0,p1_wB2_t1_m14
p1_wB2_t1_m14_c3_z0_l1_o0,3,1,2,2,1,0,0.14949402023919042,0.14949402023919042,1.0,2934.4178546458143,2320.894854645814,0.0,p1_wB2_t1_m14
p1_wB2_t1_m14_c4_z0_l1_o0,4,1,2,2,1,0,0.14949402023919042,0.14949402023919042,1.0,2934.4178546458143,2320.894854645814,0.0,p1_wB2_t1_m14
p1_wB2_t1_m14_c5_z0_l1_o0,5,1,2,2,1,0,0.14949402023919042,0.14949402023919042,1.0,2934.4178546458143,2320.894854645814,0.0,p1_wB2_t1_m14
p1_wB2_t1_m15_c1_z0_l1_o0,1,1,2,2,1,0,0.14949402023919042,0.14949402023919042,1.0,2627.655854645814,2320.894854645814,0.0,p1_wB2_t1_m15
p1_wB2_t1_m15_c2_z0_l1_o0,2,1,2,2,1,0,0.14949402023919042,0.14949402023919042,1.0,2627.655854645814,2320.894854645814,0.0,p1_wB2_t1_m15
p1_wB2_t1_m15_c3_z0_l1_o0,3,1,2,2,1,0,0.14949402023919042,0.14949402023919042,1.0,2627.655854645814,2320.894854645814,0.0,p1_wB2_t1_m15
p1_wB2_t1_m15_c4_z0_l1_o0,4,1,2,2,1,0,0.14949402023919042,0.14949402023919042,1.0,2627.655854645814,2320.894854645814,0.0,p1_wB2_t1_m15
p1_wB2_t1_m15_c5_z0_l1_o0,5,1,2,2,1,0,0.14949402023919042,0.14949402023919042,1.0,2627.655854645814,2320.894854645814,0.0,p1_wB2_t1_m15
p1_wB2_t1_m16_c1_z0_l1_o0,1,1,2,2,1,0,0.14949402023919042,0.14949402023919042,1.0,2320.894854645814,2320.894854645814,0.0,p1_wB2_t1_m16
p1_wB2_t1_m16_c2_z0_l1_o0,2,1,2,2,1,0,0.14949402023919042,0.14949402023919042,1.0,2320.894854645814,2320.894854645814,0.0,p1_wB2_t1_m16
p1_wB2_t1_m16_c3_z0_l1_o0,3,1,2,2,1,0,0.14949402023919042,0.14949402023919042,1.0,2320.894854645814,2320.894854645814,0.0,p1_wB2_t1_m16
p1_wB2_t1_m16_c4_z0_l1_o0,4,1,2,2,1,0,0.14949402023919042,0.14949402023919042,1.0,2320.894854645814,2320.894854645814,0.0,p1_wB2_t1_m16
p1_wB2_t1_m16_c5_z0_l1_o0,5,1,2,2,1,0,0.14949402023919042,0.14949402023919042,1.0,2320.894854645814,2320.894854645814,0.0,p1_wB2_t1_m16
p1_wB2_t1_m17_c1_z0_l1_o0,1,1,2,2,1,0,0.14949402023919042,0.14949402023919042,1.0,2014.1328546458142,2320.894854645814,0.0,p1_wB2_t1_m17
p1_wB2_t1_m17_c2_z0_l1_o0,2,1,2,2,1,0,0.14949402023919042,0.14949402023919042,1.0,2014.1328546458142,2320.894854645814,0.0,p1_wB2_t1_m17
p1_wB2_t1_m17_c3_z0_l1_o0,3,1,2,2,1,0,0.14949402023919042,0.14949402023919042,1.0,2014.1328546458142,2320.894854645814,0.0,p1_wB2_t1_m17
p1_wB2_t1_m17_c4_z0_l1_o0,4,1,2,2,1,0,0.14949402023919042,0.14949402023919042,1.0,2014.1328546458142,2320.894854645814,0.0,p1_wB2_t1_m17
p1_wB2_t1_m17_c5_z0_l1_o0,5,1,2,2,1,0,0.14949402023919042,0.14949402023919042,1.0,2014.1328546458142,2320.894854645814,0.0,p1_wB2_t1_m17
p1_wB2_t1_m18_c1_z0_l1_o0,1,1,2,2,1,0,0.14949402023919042,0.14949402023919042,1.0,2014.1328546458142,2627.655854645814,0.0,p1_wB2_t1_m18
p1_wB2_t1_m18_c2_z0_l1_o0,2,1,2,2,1,0,0.14949402023919042,0.14949402023919042,1.0,2014.1328546458142,2627.655854645814,0.0,p1_wB2_t1_m18
p1_wB2_t1_m18_c3_z0_l1_o0,3,1,2,2,1,0,0.14949402023919042,0.14949402023919042,1.0,2014.1328546458142,2627.655854645814,0.0,p1_wB2_t1_m18
