donor,well,fov,id,umap_x,umap_y
AML1_M2,D2,133,1,-2.4726968,5.951725
AML1_M2,B2,175,2,1.9495208,2.1317823
AML1_M2,D2,146,2,-0.37206465,6.1531997
AML1_M2,F2,171,3,-2.058278,3.791917
AML1_M2,D2,5,12,6.637843,5.0185785
AML1_M2,F2,229,7,0.15014929,6.2918773
AML1_M2,H2,60,7,-1.7724446,5.3780913
AML1_M2,B2,77,19,-1.769006,5.348222
AML1_M2,H2,120,12,-0.91402835,7.4408584
AML1_M2,B2,189,8,-2.7280917,5.648835
AML1_M2,D2,134,20,-2.513808,5.8180423
AML1_M2,D2,78,15,0.059800804,6.0647373
AML1_M2,H2,248,7,-2.371808,5.6844854
AML1_M2,B2,194,36,-1.5087129,6.036787
AML1_M2,J2,45,7,-0.77665675,5.84779
AML1_M2,D2,241,10,-2.3820298,5.863137
AML1_M2,F2,99,16,-1.5119903,2.0856016
AML1_M2,B2,21,15,2.1396928,8.059293
AML1_M2,J2,99,3,-1.1924304,3.9828682
AML1_M2,B2,215,2,-2.5407407,5.5318675
AML1_M2,D2,214,3,1.3550183,2.3711038
AML1_M2,H2,162,12,3.5822833,-1.2385843
AML1_M2,J2,90,11,-1.5498929,4.9544477
AML1_M2,J2,175,6,-2.17244,5.7211943
AML1_M2,F2,175,11,-1.5584005,5.43944
AML1_M2,D2,157,5,-1.8145345,5.431249
AML1_M2,F2,64,18,-0.99715394,5.2891226
AML1_M2,F2,131,18,3.3449984,0.24944033
AML1_M2,F2,87,16,-1.2393811,5.288126
AML1_M2,B2,70,20,-1.6307985,5.5521436
AML1_M2,H2,233,18,1.5526651,0.36560935
AML1_M2,F2,90,13,0.05695346,3.7539093
AML1_M2,J2,151,8,-2.4654875,5.6795607
AML1_M2,D2,139,11,-2.6644337,5.7489805
AML1_M2,H2,63,4,0.49345857,5.724164
AML1_M2,F2,136,10,2.6718142,1.7089919
AML1_M2,B2,145,10,-2.743188,5.841352
AML1_M2,B2,138,38,-2.6731653,5.591178
AML1_M2,B2,8,17,-1.2717322,6.9106994
AML1_M2,B2,103,7,-1.2435313,5.808473
AML1_M2,F2,43,7,0.054555316,6.2370977
AML1_M2,D2,53,27,-1.4713662,-0.76172745
AML1_M2,B2,104,36,3.6586292,-1.0069617
AML1_M2,J2,57,13,0.088226214,2.411382
AML1_M2,J2,148,13,-2.7040625,5.818828
AML1_M2,F2,202,12,-0.29470152,-0.092842415
AML1_M2,F2,213,11,-2.4559898,5.4531717
AML1_M2,J2,20,6,-2.0010278,4.383935
AML1_M2,H2,14,3,-1.1647258,5.6098485
AML1_M2,B2,167,25,3.500261,-1.1767293
AML1_M2,H2,210,9,-1.6727626,6.046957
AML1_M2,J2,168,28,-1.1277522,5.130261
AML1_M2,B2,64,1,-1.4116945,5.623879
AML1_M2,D2,58,20,-1.4463633,8.1199875
AML1_M2,D2,245,7,1.0354267,2.5036576
AML1_M2,D2,191,21,-1.8331013,4.84109
AML1_M2,D2,209,4,-2.6077948,5.691626
AML1_M2,H2,123,7,2.594558,2.0919545
AML1_M2,F2,228,15,1.2944179,2.26263
AML1_M2,B2,127,5,0.7651401,8.476145
AML1_M2,B2,136,31,-2.8329332,5.7101994
AML1_M2,H2,79,4,-1.5859934,6.1002526
AML1_M2,B2,15,25,-0.58772606,-2.6833215
AML1_M2,B2,156,1,-0.4788348,5.692459
AML1_M2,D2,159,8,-2.0049577,5.56343
AML1_M2,J2,50,12,0.6909814,5.6223702
AML1_M2,F2,64,7,3.5093238,9.374348
AML1_M2,J2,204,2,-2.29427,5.3494964
AML1_M2,F2,183,17,-1.7122397,8.687487
AML1_M2,F2,229,12,2.4700282,6.957221
AML1_M2,D2,46,23,-0.4483257,5.6481633
AML1_M2,D2,58,13,-1.3350381,5.4988804
AML1_M2,F2,112,15,-0.84728557,5.32114
AML1_M2,F2,131,2,-0.2945506,5.948277
AML1_M2,B2,164,3,-1.1735675,5.4355507
AML1_M2,F2,199,1,-0.2111854,5.2952976
AML1_M2,J2,126,8,-2.8360326,5.768084
AML1_M2,H2,109,4,1.5290091,0.53912616
AML1_M2,D2,230,14,-1.2794284,5.5622106
AML1_M2,B2,73,8,1.204495,5.6793423
AML1_M2,B2,139,33,-2.6248493,5.712263
AML1_M2,B2,149,25,0.09675874,2.8552356
AML1_M2,J2,177,5,-2.4261897,5.750002
AML1_M2,F2,152,5,-2.269521,5.5826626
AML1_M2,B2,185,13,-1.9486161,5.167476
AML1_M2,J2,137,9,-2.8937476,5.840598
AML1_M2,B2,126,30,2.3358314,1.8868312
