donor,well,fov,id,umap_x,umap_y,NUCLEUS METCENTER-X,NUCLEUS METCENTER-Y
AML1_M2,F2,225,2,-1.3064579,4.7737446,4059.6484375,16091.837890625
AML1_M2,H2,176,20,-0.9574333,6.2594366,3563.38134765625,22102.431640625
AML1_M2,H2,66,15,2.7184567,-1.0835652,2477.3271484375,20692.810546875
AML1_M2,J2,185,9,-2.8405442,5.8159046,2497.72998046875,28187.638671875
AML1_M2,H2,136,3,-1.7074476,5.392608,2067.71240234375,21870.9375
AML1_M2,B2,87,18,-2.0173233,6.0064116,2927.30126953125,2747.886474609375
AML1_M2,D2,230,15,0.5133717,-0.47577253,4186.60888671875,10291.2734375
AML1_M2,B2,134,5,-2.6234736,5.883703,2153.449462890625,3176.53076171875
AML1_M2,H2,211,1,-1.8304293,5.523595,2848.375244140625,22520.2421875
AML1_M2,J2,225,11,-1.5623779,5.705177,4034.08349609375,28535.7265625
AML1_M2,B2,153,17,-0.46659085,-0.27242476,3539.900634765625,3229.447998046875
AML1_M2,F2,60,16,-0.34445715,5.3729615,2960.87255859375,14780.7978515625
AML1_M2,F2,249,6,-2.5518506,-1.5719451,2471.224853515625,16452.365234375
AML1_M2,B2,207,3,-2.0515668,5.990853,2595.30078125,3884.906982421875
AML1_M2,H2,189,15,-2.0489454,5.5491734,2287.388671875,21968.6484375
AML1_M2,B2,71,14,-1.2381766,5.863638,1984.265380859375,2371.923583984375
AML1_M2,F2,64,8,-1.471828,5.116446,2662.547607421875,14779.7724609375
AML1_M2,H2,240,21,3.450386,-1.326451,3645.5869140625,22776.146484375
AML1_M2,J2,218,6,-2.4585128,5.8311872,3611.51025390625,28523.849609375
AML1_M2,D2,77,11,-2.2981613,5.7243075,2305.418701171875,8652.87890625
AML1_M2,D2,194,21,2.8994472,7.1035967,2070.147705078125,9665.2353515625
AML1_M2,J2,150,4,-1.5634754,5.515871,3396.72509765625,27806.68359375
AML1_M2,H2,241,2,-1.6472003,5.7653375,3233.703857421875,22622.4453125
AML1_M2,F2,90,9,3.1421418,7.4369044,3336.9326171875,14913.8017578125
AML1_M2,D2,57,4,-0.44317618,7.4279428,2908.68701171875,8456.95703125
AML1_M2,H2,74,8,1.0659782,2.3504887,2116.982421875,20995.677734375
AML1_M2,D2,36,7,-0.525063,6.1866174,3912.654052734375,8246.8876953125
AML1_M2,B2,198,9,-2.078156,5.185832,2032.9072265625,3729.79541015625
AML1_M2,B2,53,7,-1.4346695,5.1196356,3137.14208984375,2264.494140625
AML1_M2,F2,131,1,-0.8619268,5.6790133,2005.8162841796875,15394.6328125
AML1_M2,H2,193,11,-1.8163472,5.4795346,1859.1697998046875,21976.587890625
AML1_M2,D2,145,1,0.33382568,5.8378477,2802.43896484375,9412.3759765625
AML1_M2,J2,87,3,-1.5212864,5.691763,2885.722412109375,27361.494140625
AML1_M2,J2,122,21,-2.4833696,5.5103855,2685.96435546875,27589.44921875
AML1_M2,H2,149,16,-1.4749213,5.2579017,3151.9697265625,21718.865234375
AML1_M2,J2,9,55,-0.0045791804,3.6216877,1880.1558837890625,26563.798828125
AML1_M2,F2,85,11,-0.6941881,-0.3958323,2917.543212890625,14975.1103515625
AML1_M2,J2,80,12,-2.377191,5.638293,2409.715087890625,27470.86328125
AML1_M2,F2,152,8,-1.5680197,6.592267,3307.45703125,15676.7021484375
AML1_M2,B2,146,25,2.6795492,5.8694825,3090.649658203125,3098.677978515625
AML1_M2,B2,138,35,7.0361705,4.3801913,2474.775390625,3089.627197265625
AML1_M2,J2,214,1,-2.0316792,6.1656837,3381.271728515625,28513.556640625
AML1_M2,F2,145,9,-2.442373,5.4477367,2793.52587890625,15543.7783203125
AML1_M2,B2,225,14,-1.1109688,5.617042,4135.685546875,3701.609619140625
AML1_M2,B2,235,13,-0.70141965,7.446818,3788.743896484375,4211.923828125
